date,A0,A1,A2,A3,A4,A5
2015-03-05T00:05:11.459Z,96,89,0,92,0,92
2015-03-05T00:05:12.459Z,95,89,0,90,0,88
2015-03-05T00:05:13.461Z,100,95,0,96,0,94
2015-03-05T00:05:14.461Z,93,86,0,88,0,88
2015-03-05T00:05:15.462Z,93,90,0,91,0,90
2015-03-05T00:05:16.463Z,100,94,0,95,0,93
2015-03-05T00:05:17.463Z,91,84,0,86,0,86
2015-03-05T00:05:18.465Z,96,90,0,94,0,92
2015-03-05T00:05:19.465Z,96,90,0,90,0,88
2015-03-05T00:05:20.465Z,91,84,0,87,0,87
2015-03-05T00:05:21.465Z,96,90,0,93,0,91
2015-03-05T00:05:22.467Z,92,84,0,87,0,87
2015-03-05T00:05:23.468Z,95,89,0,91,0,90
2015-03-05T00:05:24.469Z,93,89,0,89,0,91
2015-03-05T00:05:25.471Z,91,84,0,87,0,86
2015-03-05T00:05:26.471Z,99,94,0,95,0,93
2015-03-05T00:05:27.474Z,93,85,0,88,0,88
2015-03-05T00:05:28.475Z,91,85,0,88,0,88
2015-03-05T00:05:29.476Z,95,89,0,92,0,91
2015-03-05T00:05:30.477Z,92,85,0,87,0,87
2015-03-05T00:05:31.478Z,94,88,0,91,0,90
2015-03-05T00:05:32.480Z,96,90,0,92,0,92
2015-03-05T00:05:33.482Z,92,89,0,89,0,88
2015-03-05T00:05:34.482Z,93,87,0,91,0,90
2015-03-05T00:05:35.483Z,96,89,0,92,0,91
2015-03-05T00:05:36.483Z,95,88,0,89,0,88
2015-03-05T00:05:37.484Z,97,93,0,94,0,91
2015-03-05T00:05:38.486Z,96,91,0,92,0,90
2015-03-05T00:05:39.487Z,91,90,0,90,0,88
2015-03-05T00:05:40.487Z,98,93,0,94,0,92
2015-03-05T00:05:41.487Z,99,93,0,93,0,92
2015-03-05T00:05:42.489Z,91,84,0,89,0,88
2015-03-05T00:05:43.489Z,100,95,0,96,0,93
2015-03-05T00:05:44.490Z,97,91,0,90,0,90
2015-03-05T00:05:45.490Z,91,84,0,87,0,87
